25.0,46.0,25.82
26.0,39.0,26.17,Mon Sep 14 15:55:57 2015
26.0,39.0,26.17,Mon Sep 14 15:55:58 2015
26.0,39.0,26.17,Mon Sep 14 15:55:59 2015
26.0,39.0,26.17,Mon Sep 14 15:56:00 2015
26.0,39.0,26.17,Mon Sep 14 15:56:01 2015
26.0,39.0,26.17,Mon Sep 14 15:56:02 2015
26.0,39.0,26.17,Mon Sep 14 15:56:03 2015
26.0,39.0,26.17,Mon Sep 14 15:56:05 2015
26.0,39.0,26.17,Mon Sep 14 15:56:06 2015
26.0,39.0,26.17,Mon Sep 14 15:56:07 2015
26.0,39.0,26.17,Mon Sep 14 15:56:08 2015
26.0,39.0,26.17,Mon Sep 14 15:56:09 2015
26.0,39.0,26.17,Mon Sep 14 15:56:10 2015
26.0,39.0,26.17,Mon Sep 14 15:56:12 2015
26.0,39.0,26.17,Mon Sep 14 15:56:13 2015
26.0,39.0,26.17,Mon Sep 14 15:56:14 2015
26.0,39.0,26.17,Mon Sep 14 15:56:15 2015
26.0,39.0,26.17,Mon Sep 14 15:56:16 2015
26.0,39.0,26.17,Mon Sep 14 15:56:17 2015
26.0,39.0,26.17,Mon Sep 14 15:56:18 2015
26.0,39.0,26.17,Mon Sep 14 15:56:19 2015
26.0,39.0,26.17,Mon Sep 14 15:56:21 2015
26.0,39.0,26.17,Mon Sep 14 15:56:22 2015
26.0,39.0,26.17,Mon Sep 14 15:56:23 2015
26.0,39.0,26.17,Mon Sep 14 15:56:24 2015
